key,other
1,0
4,0
13,0
21,0
40,0
46,0
56,0
61,0
78,0
80,0
95,0
100,0
116,0
134,0
137,0
146,0
160,0
161,0
175,0
183,0
185,0
201,0
215,0
216,0
219,0
220,0
233,0
236,0
249,0
257,0
258,0
276,0
277,0
279,0
287,0
289,0
295,0
297,0
312,0
313,0
327,0
335,0
339,0
349,0
353,0
354,0
357,0
359,0
362,0
368,0
370,0
384,0
385,0
392,0
411,0
415,0
417,0
418,0
420,0
423,0
424,0
437,0
439,0
441,0
453,0
454,0
458,0
459,0
474,0
477,0
479,0
486,0
493,0
499,0
500,0
503,0
512,0
522,0
525,0
534,0
542,0
543,0
545,0
548,0
576,0
579,0
583,0
587,0
594,0
606,0
622,0
633,0
662,0
671,0
676,0
677,0
679,0
693,0
702,0
707,0
740,0
753,0
758,0
767,0
771,0
773,0
776,0
783,0
784,0
786,0
791,0
793,0
796,0
797,0
799,0
804,0
814,0
816,0
818,0
821,0
823,0
828,0
834,0
844,0
848,0
851,0
855,0
856,0
859,0
863,0
867,0
870,0
879,0
883,0
888,0
890,0
906,0
907,0
909,0
910,0
912,0
917,0
919,0
922,0
927,0
934,0
946,0
947,0
951,0
953,0
959,0
968,0
969,0
970,0
971,0
989,0
994,0
