branch,address,city,zip,january,february,march,april,may,june,july,august,september,october,november,december,ytd,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
Albany Park,3401 W. Foster Ave.,Chicago,60625,1621,1484,765,0,0,276,511,561,621,565,509,457,7370,"{'type': 'Point', 'coordinates': [-87.713595, 41.975693]}",20,13,21849,167,38
Altgeld,13281 S. Corliss Ave.,Chicago,60827,258,249,111,0,0,0,0,0,1,0,129,104,852,"{'type': 'Point', 'coordinates': [-87.602139, 41.653968]}",47,51,4460,10,43
Archer Heights,5055 S. Archer Ave.,Chicago,60632,1479,1275,760,0,0,244,457,527,587,597,483,501,6910,"{'type': 'Point', 'coordinates': [-87.726723, 41.801206]}",56,54,22248,697,8
Austin,5615 W. Race Ave.,Chicago,60644,1999,1912,1073,0,0,307,760,873,748,722,623,714,9731,"{'type': 'Point', 'coordinates': [-87.766942, 41.889281]}",32,26,22216,672,7
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,1174,1073,463,0,0,235,316,362,371,379,234,241,4848,"{'type': 'Point', 'coordinates': [-87.779388, 41.953025]}",52,15,22254,131,19
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2848,2373,1397,0,0,513,905,955,974,1019,935,981,12900,"{'type': 'Point', 'coordinates': [-87.585869, 41.746322]}",61,41,21202,133,35
Back of the Yards,2111 W. 47th St.,Chicago,60609,917,940,509,0,0,187,295,302,290,293,261,290,4284,"{'type': 'Point', 'coordinates': [-87.677601, 41.808523]}",37,59,14924,706,1
Beverly,1962 W. 95th St.,Chicago,60643,1089,931,534,0,0,184,374,396,339,407,314,314,4882,"{'type': 'Point', 'coordinates': [-87.672288, 41.721148]}",59,71,22212,627,42
Bezazian,1226 W. Ainslie St.,Chicago,60640,2138,1818,1051,0,0,448,839,938,896,951,742,501,10322,"{'type': 'Point', 'coordinates': [-87.66074, 41.971414]}",15,31,22616,633,39
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,1537,1262,668,0,0,299,505,518,583,606,589,643,7210,"{'type': 'Point', 'coordinates': [-87.590213, 41.80762]}",10,5,21192,400,10
Brainerd,1350 W. 89th St.,Chicago,60620,814,637,328,0,0,110,252,323,294,344,262,295,3659,"{'type': 'Point', 'coordinates': [-87.657726, 41.732282]}",59,72,21554,195,13
Brighton Park,4314 S. Archer Ave.,Chicago,60632,841,751,451,0,0,166,293,300,330,340,263,307,4042,"{'type': 'Point', 'coordinates': [-87.703067, 41.814848]}",56,55,22248,156,3
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,968,893,586,0,0,261,423,394,369,556,346,471,5267,"{'type': 'Point', 'coordinates': [-87.680298, 41.912224]}",1,25,22535,179,11
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,1087,1096,601,0,0,266,458,560,588,561,555,522,6294,"{'type': 'Point', 'coordinates': [-87.696439, 41.983843]}",50,20,4450,15,24
Canaryville,642 W. 43rd St.,Chicago,60609,440,405,197,0,0,0,0,0,0,0,0,0,1042,"{'type': 'Point', 'coordinates': [-87.642569, 41.81627]}",37,59,14924,123,48
Chicago Bee,3647 S. State St.,Chicago,60609,773,826,451,0,0,221,312,372,359,375,308,336,4333,"{'type': 'Point', 'coordinates': [-87.626436, 41.828152]}",36,1,14924,446,9
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1045,1186,713,0,0,201,484,617,528,524,521,521,6340,"{'type': 'Point', 'coordinates': [-87.703231, 41.781967]}",58,64,21867,344,6
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2219,1891,972,0,0,321,632,758,753,671,571,670,9458,"{'type': 'Point', 'coordinates': [-87.631794, 41.854267]}",40,35,21194,3,26
Clearing,6423 W. 63rd Pl.,Chicago,60638,610,543,349,0,0,207,344,334,308,332,269,317,3613,"{'type': 'Point', 'coordinates': [-87.782282, 41.7768]}",7,62,22268,336,6
Coleman,731 E. 63rd St.,Chicago,60637,2289,1927,1204,0,0,392,805,971,870,1127,678,743,11006,"{'type': 'Point', 'coordinates': [-87.60684900000001, 41.780405]}",60,9,22260,471,4
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,1029,899,532,0,0,297,451,523,463,498,437,514,5643,"{'type': 'Point', 'coordinates': [-87.646149, 41.8327]}",40,58,14920,171,48
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,2851,2362,1383,0,0,453,804,864,832,1005,841,788,12183,"{'type': 'Point', 'coordinates': [-87.706545, 41.89433]}",30,24,21184,177,46
Douglass,3353 W. 13th St.,Chicago,60623,1635,1556,741,0,0,241,379,440,458,554,459,467,6930,"{'type': 'Point', 'coordinates': [-87.709792, 41.864527]}",57,30,21569,34,14
Dunning,7455 W. Cornelia Ave.,Chicago,60634,759,700,418,0,0,269,343,409,415,451,405,498,4667,"{'type': 'Point', 'coordinates': [-87.813899, 41.94331]}",52,17,22254,458,19
Edgebrook,5331 W. Devon Ave.,Chicago,60646,669,657,368,0,0,217,319,286,317,327,149,243,3552,"{'type': 'Point', 'coordinates': [-87.762043, 41.997245]}",18,12,22532,782,38
Edgewater,6000 N. Broadway St.,Chicago,60660,3395,3133,1921,0,0,804,1356,1262,1210,1241,1006,1148,16476,"{'type': 'Point', 'coordinates': [-87.660344, 41.990916]}",14,76,4451,536,16
Gage Park,2807 W. 55th St.,Chicago,60632,429,403,261,0,0,0,0,0,0,0,0,0,1093,"{'type': 'Point', 'coordinates': [-87.694138, 41.793722]}",56,61,22248,777,8
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'type': 'Point', 'coordinates': [-87.79846800000001, 41.921134]}",3,18,4454,136,7
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,817,680,386,0,0,211,352,342,351,370,320,353,4182,"{'type': 'Point', 'coordinates': [-87.780098, 41.792854]}",7,53,22268,587,6
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1467,1054,638,0,0,209,444,476,488,476,404,463,6119,"{'type': 'Point', 'coordinates': [-87.600377, 41.762277]}",61,67,21546,121,33
Hall,4801 S. Michigan Ave.,Chicago,60615,1137,1267,804,0,0,333,529,635,617,670,66,0,6058,"{'type': 'Point', 'coordinates': [-87.622776, 41.807273]}",10,4,21192,448,9
Harold Washington Library Center,400 S. State Street,Chicago,60605,17282,15455,9918,0,0,3235,5139,5834,5621,5928,5007,4784,78203,"{'type': 'Point', 'coordinates': [-87.627695, 41.876301]}",35,38,14913,92,10
Hegewisch,3048 E. 130th St.,Chicago,60633,701,543,351,0,0,151,221,299,280,282,131,241,3200,"{'type': 'Point', 'coordinates': [-87.548914, 41.65915300000001]}",26,52,22250,787,47
Humboldt Park,1605 N. Troy St.,Chicago,60647,1202,1002,656,0,0,252,484,593,612,770,546,514,6631,"{'type': 'Point', 'coordinates': [-87.705655, 41.910536]}",1,24,22535,389,49
Independence,4024 N. Elston Ave.,Chicago,60618,1189,1097,547,0,0,294,480,533,590,641,430,459,6260,"{'type': 'Point', 'coordinates': [-87.719889, 41.954219]}",39,16,21538,364,50
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,1075,989,619,0,0,364,570,477,458,601,444,528,6125,"{'type': 'Point', 'coordinates': [-87.761964, 41.967648]}",48,11,21869,129,50
