fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,5142155,5142155,5322699
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1200,1200,1200
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,130,POSTAGE,23400,23400,18000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1000,1000,1000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,49500,49500,49500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,159,LEASE PURCHASE AGREEMNT,63500,63500,63500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,18500,18500,18500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286,5286,5286
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,181,MOBILE COMM SERVICES,39730,39730,47400
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,190,TELEPHONE-CENTREX,56000,56000,46000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,196,DATA CIRCUITS,3800,3800,3600
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,197,TELEPHONE-MAINTENANCE,30000,30000,22000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,229,TRAN/EXP ALLOWANCE,680,680,680
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,245,REIMBURSEMENT TRAVELERS,23280,23280,23280
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,872,872,872
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPL,48500,48500,48500
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,2347185,2347185,2288127
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,8113,8113,9736
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,20,OVERTIME,1250,1250,1250
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,130,POSTAGE,820,820,820
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,5000,5000,5000
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,48157,48157,18157
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,1649,1649,1649
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,22771,22771,22771
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,28990,28990,26603
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,9231,9231,9231
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1487,1487,1487
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,721,721,721
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,21728,36728,36525
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,42117,27117,32114
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,51945,51945,51945
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,558,558,558
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,3875,3875,3875
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,320,GASOLINE,5138,5138,2597
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,6036,6036,6036
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,2032,2032,2032
