docket_number,violation_number,issued_date,issuing_department,last_hearing_date,property_address,violation_type,entity_or_person_s_,disposition_description,total_fines,total_administrative_costs,interest_amount,collection_costs_or_attorney_fees,court_cost,original_total_amount_due,total_paid,current_amount_due,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
11CP015666,P002161520|P002161521,2011-03-07T00:00:00.000,POLICE,2011-08-05T11:00:00.000,9332 S LASALLE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"JP MORGAN CHASE, ",City Non suit - Motion to set-aside default - Granted,0,0,0,0,0,0,0,0,41.72433163710899,-87.62766855145455,"{'type': 'Point', 'coordinates': [-87.62766855145455, 41.72433163710899]}",59,45,21554,187,13
11CP020396,P002513827,2011-05-04T00:00:00.000,POLICE,2011-07-01T14:30:00.000,2107 N SAWYER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Liable - By plea,100,0,0,0,0,140,280,-140,41.919468897981616,-87.70884424604687,"{'type': 'Point', 'coordinates': [-87.70884424604687, 41.919468897981616]}",1,23,22535,321,49
11CP024049,P002165386|P002165387,2011-05-03T00:00:00.000,POLICE,2011-07-01T14:00:00.000,12863 S NORMAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.65966224784699,-87.63393730049602,"{'type': 'Point', 'coordinates': [-87.63393730049602, 41.65966224784699]}",19,50,21861,7,43
11CP026554,P002109256,2011-05-27T00:00:00.000,POLICE,2011-07-01T09:00:00.000,5700 S ABERDEEN ,13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",Not liable - City failed to meet burden of proof,800,0,27.96,236.88,26.09,1130.93,1125,0,41.79047358708863,-87.65249718861547,"{'type': 'Point', 'coordinates': [-87.65249718861547, 41.79047358708863]}",11,66,21559,409,2
11CP054441,P003018262|P003018263|P003018264,2011-08-25T00:00:00.000,POLICE,2011-10-07T09:00:00.000,5035 S RACINE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO, ",City non-suit,0,0,0,0,0,0,0,0,41.80222309496589,-87.65493156629385,"{'type': 'Point', 'coordinates': [-87.65493156629385, 41.80222309496589]}",37,59,14924,708,4
11CP063728,P003007973|P003007974,2011-09-25T00:00:00.000,POLICE,2011-11-04T09:00:00.000,6415 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,2800,0,40.35,800.88,20,3701.23,3883.69,-185.01,41.777393330177546,-87.64822140158856,"{'type': 'Point', 'coordinates': [-87.64822140158856, 41.777393330177546]}",11,66,21559,436,2
11CP065778,P003060284|P003060286,2011-10-04T00:00:00.000,POLICE,2011-11-04T13:00:00.000,501 W CRYSTAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO, ",City non-suit,1300,0,32.26,237.23,0,1609.49,3257.4,-1647.91,,,,,,,,
11CP079197,P003059852|P003059853|P003059854|P003059855,2011-11-28T00:00:00.000,POLICE,2012-01-06T13:00:00.000,1725 N MAYFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,0,41.9118846821849,-87.77265515630052,"{'type': 'Point', 'coordinates': [-87.77265515630052, 41.9118846821849]}",2,26,22615,597,7
12CP001672,P003141063|P003141066,2011-12-28T00:00:00.000,POLICE,2012-02-03T09:00:00.000,5319 S BISHOP ,13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA NTAL ASSN, ",City non-suit,0,0,0,0,0,0,0,0,41.79712739648366,-87.66087654489898,"{'type': 'Point', 'coordinates': [-87.66087654489898, 41.79712739648366]}",37,59,14924,790,4
12CP004477,P002037414|P002037415|P002037416|P002037417,2012-01-09T00:00:00.000,POLICE,2012-02-03T09:00:00.000,2502 W 60TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78480791012269,-87.6863874628232,"{'type': 'Point', 'coordinates': [-87.6863874628232, 41.78480791012269]}",58,64,21867,111,2
12CP009773,P003179843|P003179844,2012-02-01T00:00:00.000,POLICE,2012-03-02T13:00:00.000,4517 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"M B FINANCIAL BANK NA, ",City non-suit,0,0,0,0,0,0,0,0,41.87860507699202,-87.73857401053314,"{'type': 'Point', 'coordinates': [-87.73857401053314, 41.87860507699202]}",30,27,21572,716,23
12CP012284,P003142126,2012-02-15T00:00:00.000,POLICE,2012-04-06T09:00:00.000,5423 S WINCHESTER ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST, ",Not liable - City failed to establish prima facie case,3800,0,114.56,1082.88,0,5037.44,5189.31,-185.01,41.79506667911757,-87.67296949154296,"{'type': 'Point', 'coordinates': [-87.67296949154296, 41.79506667911757]}",37,59,14924,767,2
