filing_year,last_name,first_name,lobbyist_middle_initial,client,compensation,filing_period
2011,Abbinante,Anthony,B,Diageo NA,0,1
2011,Acosta,Rolando,R,M. Fishman & Co,5000,1
2011,Acosta,Rolando,R,"Elston Center, LLC",0,1
2011,Acosta,Rolando,R,Lake Loomis LLC,0,1
2011,Acosta,Rolando,R,CORU 465 LLC,0,1
2011,Acosta,Rolando,R,Lawrence Fisheries,0,1
2011,Acosta,Rolando,R,Wabash Development Group,5000,1
2011,Aldrete,Sylvia,,AT&T Illinois,0,1
2011,Anderson,Jane ,F,"Yellow Services, Inc",1000,1
2011,Archia,Adrienne,,Rice Financial Products Co.,0,1
2011,Asaro,Lenny,D,Comer Science & Education Foundation,0,1
2011,Asaro,Lenny,D,"GCCP, LLC",0,1
2011,Asaro,Lenny,D,Sonia Shankman School Corp.,0,1
2011,Asaro,Lenny,D,Steans Family Foundation,0,1
2011,Asaro,Lenny,D,"RCHD, LLC",0,1
2011,Asaro,Lenny,D,"GCYC, LLC",0,1
2011,Balanoff,Tom ,,SEIU Local 1,0,1
2011,Banks,William,J,"Milanowski, Andrzej",1000,1
2011,Banks,William,J,Chicago Sport and Social Club,500,1
2011,Banks,William,J,VacationRentChicago.com,2000,1
2011,Banks,William,J,150 East Ontario Acquistions LLC,500,1
2011,Banks,William,J,"Chryczxy, Wojciech",1000,1
2011,Banks,James ,J,"Doliwa, Krzysztof",500,1
2011,Banks,William,J,CBS Outdoor Display Division,1000,1
2011,Banks,William,J,Gold Star Jewelry and Coin Co.,3000,1
2011,Banks,William,J,Rass Hospitality,5000,1
2011,Banks,William,J,M & T Partnership,1000,1
2011,Banks,William,J,MR Properties LLC,1000,1
2011,Banks,William,J,New Directions Housing ,1000,1
2011,Banks,James ,J,"Mehraban, Ray",500,1
2011,Banks,James ,J,Nigerian Islamic Assoc. of the USA,500,1
2011,Banks,James ,J,2113 W. Armitage LLC,500,1
2011,Banks,William,J,Hoyne Avenue Corp.,1000,1
2011,Banks,William,J,Pope Building Condo. Assoc.,1000,1
2011,Barkan,Ari ,D,Credit Suisse Asset Management LLC,0,1
2011,Basehart,Tom,,Melvin & Company,0,1
2011,Bauer ,Steven,,Valpiano International LLC,7000,1
2011,Beck,James,M,Melvin & Company,0,1
2011,Benton,Derryl,,"Airport Management Services, LLC",0,1
2011,Berman,Myles,D,Learn Green LLC,4000,1
2011,Berman,Myles,D,Potbelly Sandwich Works,4000,1
2011,Berman,Myles,D,"Burns & McDonnell Engineering Co, Inc",5000,1
2011,Berman,Myles,D,"Johnson Diversey, Inc",0,1
2011,Berman,Myles,D,"Superdawg Drive-In, Inc",2000,1
2011,Berman,Myles,D,"Midwest Generation EME,LLC",18000,1
2011,Bernardini,Charles,R,Aeroterm,2000,1
2011,Bernardoni,Brian,A,Chicago Assoc. of Realtors,40000,1
2011,Bieber,Jeffrey,J,Kroger Co,0,1
2011,Bieber,Jeffrey,J,Ralph's Grocery Co.,0,1
