fund_type,fund_code,fund_description,department_number,department_description,organization_code,division_code,division_description,section_code,section_description,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,title_description,budgeted_unit,total_budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,3005 Executive,0, ,100,9,9901,Mayor,Annual,1,1,216210.00,216210
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,3005 Executive,0, ,100,0,9637,Administrative Assistant,Annual,2,1,44004.00,88008
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,3005 Executive,0, ,0,9,9617,Administrative Secretary,Annual,1,1,74988.00,74988
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9899,Chief of Staff,Annual,1,1,174996.00,174996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9898,Deputy Chief of Staff,Annual,1,1,144996.00,144996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9898,Deputy Chief of Staff,Annual,1,1,120000.00,120000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9896,Chief Financial Officer,Annual,1,1,169992.00,169992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,83100.00,83100
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9889,First Deputy Chief of Staff,Annual,1,1,154992.00,154992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9883,Assistant Administrative Secretary III,Annual,1,1,90000.00,90000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9883,Assistant Administrative Secretary III,Annual,1,1,60000.00,60000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9882,Assistant Administrative Secretary II,Annual,1,1,80904.00,80904
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9882,Assistant Administrative Secretary II,Annual,1,1,49668.00,49668
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9882,Assistant Administrative Secretary II,Annual,1,1,49512.00,49512
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9882,Assistant Administrative Secretary II,Annual,1,1,40008.00,40008
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9881,Assistant Administrative Secretary I,Annual,2,1,40008.00,80016
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9876,Scheduler,Annual,1,1,62496.00,62496
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9876,Scheduler,Annual,1,1,42000.00,42000
