ward_section_concatenated,ward,section,month_name,month_number,dates
0101,1,1,APRIL,4,"6,7"
0101,1,1,AUGUST,8,"3,4"
0101,1,1,JULY,7,"6,7"
0101,1,1,JUNE,6,"1,2"
0101,1,1,MAY,5,"4,5"
0101,1,1,NOVEMBER,11,"2,3"
0101,1,1,OCTOBER,10,"5,6"
0101,1,1,SEPTEMBER,9,"1,7"
0102,1,2,APRIL,4,"1,2"
0102,1,2,AUGUST,8,"5,6"
0102,1,2,JULY,7,"1,2"
0102,1,2,JUNE,6,"3,4"
0102,1,2,MAY,5,"6,7"
0102,1,2,NOVEMBER,11,"4,5"
0102,1,2,OCTOBER,10,"1,7"
0102,1,2,SEPTEMBER,9,"2,3"
0103,1,3,APRIL,4,"13,14"
0103,1,3,AUGUST,8,"10,11"
0103,1,3,JULY,7,"13,14"
0103,1,3,JUNE,6,"8,9"
0103,1,3,MAY,5,"11,12"
0103,1,3,NOVEMBER,11,"9,10"
0103,1,3,OCTOBER,10,"12,13"
0103,1,3,SEPTEMBER,9,"8,14"
0104,1,4,APRIL,4,"8,9"
0104,1,4,AUGUST,8,"12,13"
0104,1,4,JULY,7,"8,9"
0104,1,4,JUNE,6,"10,11"
0104,1,4,MAY,5,"13,14"
0104,1,4,NOVEMBER,11,"11,12"
0104,1,4,OCTOBER,10,"8,14"
0104,1,4,SEPTEMBER,9,"9,10"
0105,1,5,APRIL,4,"20,21"
0105,1,5,AUGUST,8,"17,18"
0105,1,5,JULY,7,"20,21"
0105,1,5,JUNE,6,"15,16"
0105,1,5,MAY,5,"18,19"
0105,1,5,NOVEMBER,11,"16,17"
0105,1,5,OCTOBER,10,"19,20"
0105,1,5,SEPTEMBER,9,"15,21"
0106,1,6,APRIL,4,"5,16"
0106,1,6,AUGUST,8,"19,20"
0106,1,6,JULY,7,"15,16"
0106,1,6,JUNE,6,"17,18"
0106,1,6,MAY,5,"20,21"
0106,1,6,NOVEMBER,11,"18,19"
0106,1,6,OCTOBER,10,"15,21"
0106,1,6,SEPTEMBER,9,"16,17"
0107,1,7,APRIL,4,"27,28"
0107,1,7,AUGUST,8,"24,25"
0107,1,7,JULY,7,"27,28"
0107,1,7,JUNE,6,"22,23"
0107,1,7,MAY,5,"25,26"
0107,1,7,OCTOBER,10,"26,27"
0107,1,7,SEPTEMBER,9,"22,28"
0108,1,8,APRIL,4,"22,23"
0108,1,8,AUGUST,8,"26,27"
0108,1,8,JULY,7,"22,23"
0108,1,8,JUNE,6,"24,25"
0108,1,8,MAY,5,"27,28"
0108,1,8,OCTOBER,10,"22,28"
0108,1,8,SEPTEMBER,9,"23,24"
0109,1,9,APRIL,4,"5,12"
0109,1,9,AUGUST,8,"2,9"
0109,1,9,JULY,7,12
0109,1,9,JUNE,6,"7,14"
0109,1,9,MAY,5,"3,10"
0109,1,9,NOVEMBER,11,"1,8"
0109,1,9,OCTOBER,10,4
0109,1,9,SEPTEMBER,9,13
0110,1,10,APRIL,4,"19,26"
0110,1,10,AUGUST,8,"16,23"
0110,1,10,JULY,7,"19,26"
0110,1,10,JUNE,6,"21,28"
0110,1,10,MAY,5,"17,24"
0110,1,10,NOVEMBER,11,15
0110,1,10,OCTOBER,10,"18,25"
0110,1,10,SEPTEMBER,9,"20,27"
0111,1,11,APRIL,4,"29,30"
0111,1,11,AUGUST,8,"30,31"
0111,1,11,JULY,7,"29,30"
0111,1,11,JUNE,6,"29,30"
0111,1,11,OCTOBER,10,29
0111,1,11,SEPTEMBER,9,"29,30"
0201,2,1,APRIL,4,"1,2,21,22"
0201,2,1,AUGUST,8,"2,19,20"
0201,2,1,JULY,7,"12,13,30"
0201,2,1,JUNE,6,"1,2,21,22"
0201,2,1,MAY,5,"11,12"
0201,2,1,NOVEMBER,11,"9,10"
0201,2,1,OCTOBER,10,"20,21"
0201,2,1,SEPTEMBER,9,"9,10,27,30"
0202,2,2,APRIL,4,"5,6,23,26"
0202,2,2,AUGUST,8,"3,4,23,24"
0202,2,2,JULY,7,"14,15"
0202,2,2,JUNE,6,"3,4,23,24"
0202,2,2,MAY,5,"13,14"
0202,2,2,NOVEMBER,11,"11,12"
0202,2,2,OCTOBER,10,"1,4,22,25"
0202,2,2,SEPTEMBER,9,"13,14"
0203,2,3,APRIL,4,"7,8,27,28"
0203,2,3,AUGUST,8,"5,6,25,26"
0203,2,3,JULY,7,"16,19"
0203,2,3,JUNE,6,"7,8,25,28"
0203,2,3,MAY,5,"17,18"
0203,2,3,NOVEMBER,11,"15,16"
0203,2,3,OCTOBER,10,"5,6,26,27"
0203,2,3,SEPTEMBER,9,"15,16"
0204,2,4,APRIL,4,"9,12,29,30"
0204,2,4,AUGUST,8,"9,10,27,30"
0204,2,4,JULY,7,"20,21"
0204,2,4,JUNE,6,"9,10,27,30"
0204,2,4,MAY,5,"19,20"
0204,2,4,NOVEMBER,11,"17,18"
0204,2,4,OCTOBER,10,"7,8,28,29"
0204,2,4,SEPTEMBER,9,"17,20"
0205,2,5,APRIL,4,"13,14"
0205,2,5,AUGUST,8,"11,12,31"
0205,2,5,JULY,7,"1,2,22,23"
0205,2,5,JUNE,6,"11,14"
0205,2,5,MAY,5,"3,4,21,24"
0205,2,5,NOVEMBER,11,"1,2,19"
0205,2,5,OCTOBER,10,"12,13"
0205,2,5,SEPTEMBER,9,"1,21,22"
0206,2,6,APRIL,4,"15,16"
0206,2,6,AUGUST,8,"13,16"
0206,2,6,JULY,7,"6,7,26,27"
0206,2,6,JUNE,6,"15,16"
0206,2,6,MAY,5,"5,6,25,26"
0206,2,6,NOVEMBER,11,"3,4"
0206,2,6,OCTOBER,10,"14,15"
0206,2,6,SEPTEMBER,9,"2,3,23,24"
0207,2,7,APRIL,4,"6,7,13,14,20,21,27,28"
0207,2,7,AUGUST,8,"3,4,10,11,17,18,24,25,31"
0207,2,7,JULY,7,"6,7,13,14,20,21,27,28"
0207,2,7,JUNE,6,"1,8,9,15,16,2,22,23,29,30"
0207,2,7,MAY,5,"4,5,11,12,18,19,25,26"
0207,2,7,OCTOBER,10,"5,6,12,13,19,20,26,27"
0207,2,7,SEPTEMBER,9,"1,7,8,14,15,21,22,28,29"
0208,2,8,APRIL,4,"6,7,13,14,20,21,27,28"
0208,2,8,AUGUST,8,"3,4,10,11,17,18,24,25,31"
0208,2,8,JULY,7,"6,7,13,14,20,21,27,28"
0208,2,8,JUNE,6,"1,8,9,15,16,2,22,23,29,30"
0208,2,8,MAY,5,"4,5,11,12,18,19,25,26"
0208,2,8,OCTOBER,10,"5,6,12,13,19,20,26,27"
0208,2,8,SEPTEMBER,9,"1,7,8,14,15,21,22,28,29"
0209,2,9,APRIL,4,"19,20"
0209,2,9,AUGUST,8,"17,18"
0209,2,9,JULY,7,"8,9,28,29"
0209,2,9,JUNE,6,"17,18"
0209,2,9,MAY,5,"7,10,27,28"
0209,2,9,NOVEMBER,11,"5,8"
0209,2,9,OCTOBER,10,"18,19"
0209,2,9,SEPTEMBER,9,"7,8,27,28"
0301,3,1,APRIL,4,"1,2"
0301,3,1,AUGUST,8,"19,20"
0301,3,1,JULY,7,"2,7"
0301,3,1,MAY,5,"17,18"
0301,3,1,OCTOBER,10,"6,7"
0302,3,2,APRIL,4,"5,6"
0302,3,2,AUGUST,8,"23,24"
0302,3,2,JULY,7,"8,9"
0302,3,2,MAY,5,"19,20"
0302,3,2,OCTOBER,10,"8,13"
0303,3,3,APRIL,4,"7,8"
0303,3,3,AUGUST,8,"25,26"
0303,3,3,JULY,7,"12,13"
0303,3,3,MAY,5,"21,24"
0303,3,3,OCTOBER,10,"14,15"
0304,3,4,APRIL,4,"9,12"
0304,3,4,AUGUST,8,"27,30"
0304,3,4,JULY,7,"14,15"
0304,3,4,MAY,5,"25,26"
0304,3,4,OCTOBER,10,"18,19"
0305,3,5,APRIL,4,"13,14"
0305,3,5,AUGUST,8,31
0305,3,5,JULY,7,"16,19"
0305,3,5,MAY,5,"27,28"
0305,3,5,OCTOBER,10,"20,21"
0305,3,5,SEPTEMBER,9,1
0306,3,6,APRIL,4,"15,16"
0306,3,6,JULY,7,"20,21"
0306,3,6,JUNE,6,"2,3"
0306,3,6,OCTOBER,10,"22,25"
0306,3,6,SEPTEMBER,9,"2,3"
