tif_number,tif_name,time_period,type,description,amount,designation_date,expiration_date
T-001,35th/Halsted,2019,Current Obligations,"Arterial resurfacing - 35th, Ashland to Racine",84900.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Bridge - Structural Rehab - 1200 W 35th St - additional funding,-250000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Building renovation - 1869 W Pershing - Phase 1,-11000000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Industrial street improvements - 37th & Racine,5400.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-2000000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Program administration,-126500.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Current Obligations,Traffic Signal - modernization - 37th Halsted,-450000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Revenue,Property tax,10379500.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Transfers Between TIF Districts,To Archer/Western (Lighting),-1400000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Transfers Between TIF Districts,To Archer/Western (McGuane Park),-600000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Transfers Between TIF Districts,To Archer/Western (McKinley Park),-400000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2019,Transfers Between TIF Districts,To Archer/Western (Park - Bosley Park),-200000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Current Obligations,Building rehab - Pershing Tower,-508400.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Current Obligations,Program administration,-130600.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Current Obligations,RDA - Acre Development,-237400.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Current Obligations,RDA - Ramova Theater,-6640000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,Building renovation - 1869 W Pershing - Phase 2,-1000000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,CDOT - IHC - 1501 W Pershing - Interior & exterior renovations,-1100000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,"CPL - Library - Daley - 3400 S Halsted - envelope repairs, mechanicals, new layout",-3500000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,Polling Place ADA Upgrade - Library - 3400 S Halsted St,-100000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,Polling Place ADA Upgrade - Police Station - 3120 S Halsted,-50000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Proposed Projects,SBIF,-1000000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Revenue,Property tax,10379500.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Transfers Between TIF Districts,To Archer/Western (McGuane Park),-5170000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2020,Transfers Between TIF Districts,To Archer/Western (Park - Bosley Park),-1169400.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2021,Current Obligations,Program administration,-136500.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2021,Current Obligations,RDA - Acre Development,-489100.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2021,Proposed Projects,Building renovation - 1869 W Pershing - Phase 2,-10000000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2021,Proposed Projects,SBIF,-500000.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,2021,Revenue,Property tax,10379500.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Arterial resurfacing - 35th, Ashland to Racine",-84900.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Bridge repair - 35th/S Fork Chicago River,-991700.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building rehab - Pershing Tower,-1146900.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building repairs - Pershing Warehouse,-4924600.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,DSS - Ward Yard improvements,-27700.00,1997-01-14T00:00:00.000,2021-12-31T00:00:00.000
