cause_of_death,community_area,community_area_name,cumulative_deaths_2004_2008,cumulative_deaths_rank,average_annual_deaths_2004_2008,average_crude_rate_2004_2008,crude_rate_lower_ci,crude_rate_upper_ci,crude_rate_rank,average_adjusted_rate_2004_2008,adjusted_rate_lower_ci,adjusted_rate_upper_ci,adjusted_rate_rank,average_annual_years_of_potential_life_lost_rate_2004_2008,ypll_rate_rank,warning
All Causes,1,Rogers Park,1741,22,348,614.2,585.3,643.1,51,895.2,852.2,939.3,29,7128,37,
All Causes,2,West Ridge,2612,5,522,723.6,695.8,751.4,42,689.9,663.3,717.1,58,6123,49,
All Causes,3,Uptown,2542,6,508,879.6,845.4,913.8,31,934,897.5,971.2,24,9147,31,
All Causes,4,Lincoln Square,1108,40,222,547,514.8,579.2,60,698.7,657.4,741.3,53,5344,62,
All Causes,5,North Center,690,59,138,433,400.7,465.3,68,681.2,630.1,734.3,61,4058,74,
All Causes,6,Lake View,1914,14,383,405.3,387.1,423.5,70,599.5,572.2,627.5,70,3281,76,
All Causes,7,Lincoln Park,1424,30,285,443.9,420.8,467,67,698.7,662,736.5,53,2962,77,
All Causes,8,Near North Side,2054,10,411,520.3,497.8,542.8,62,518.9,496.2,542.1,77,4481,70,
All Causes,9,Edison Park,520,65,104,928.5,848.7,1008.3,24,649.9,593.9,708.4,66,5554,59,
All Causes,10,Norwood Park,2372,7,474,1276.9,1225.5,1328.3,4,699.6,669.5,730.4,52,5994,52,
All Causes,11,Jefferson Park,1175,37,235,920.5,867.9,973.1,25,725.7,684.3,768.2,46,7090,38,
All Causes,12,Forest Glen,726,55,145,787.4,730.1,844.7,38,572.5,531,615.6,74,4136,73,
All Causes,13,North Park,702,57,140,777.9,720.4,835.4,39,551.2,510.3,593.7,75,4424,72,
All Causes,14,Albany Park,1251,34,250,474.2,447.9,500.5,64,680.9,642.8,720.1,62,4913,69,
All Causes,15,Portage Park,2199,8,440,683.3,654.7,711.9,47,693.2,664.3,722.8,56,6692,42,
All Causes,16,Irving Park,1542,26,308,566.7,538.4,595,57,742.8,705.4,781.2,41,6265,47,
All Causes,17,Dunning,1818,17,364,866.2,826.4,906,32,672.4,641.4,704.1,64,6230,48,
All Causes,18,Montclaire,558,61,112,841,771.2,910.8,34,736.6,675.5,800.3,43,6574,43,
All Causes,19,Belmont Cragin,1838,16,368,467.5,446.1,488.9,65,693.2,660.9,726.4,56,5989,53,
All Causes,20,Hermosa,484,68,97,381.3,347.3,415.3,73,652.3,591,716.5,65,6392,46,
All Causes,21,Avondale,922,45,184,460.7,431,490.4,66,707.8,661,756.2,51,6003,51,
All Causes,22,Logan Square,1461,29,292,390.8,370.8,410.8,71,718.2,679.9,757.5,48,5153,64,
