fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,5,Salaries and Wages - on Payroll,6528090,6528090,7028929
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,126,Office Conveniences,1200,1200,1200
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,130,Postage,5000,5000,5000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,150,Publications and Reproduction - Outside Services to Be Expended with the Prior Approval of Graphics Services,1000,1000,1300
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,157,Rental of Equipment and Services,42500,42500,40000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,159,Lease Purchase Agreements for Equipment and Machinery,53744,53744,52000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,162,Repair/Maintenance of Equipment,6984,6984,6984
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,166,Dues  Subscriptions and Memberships,22000,22000,22000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,169,Technical Meeting Costs,5286,5286,6000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,181,Mobile Communication Services,40000,40000,40000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,190,Telephone - Non-Centrex Billings,48000,48000,19800
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,196,Data Circuits,444,444,0
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,197,Telephone - Maintenance and Repair of Equipment and Voicemail,3300,3300,2800
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,229,Transportation and Expense Allowance,1000,1000,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,245,Reimbursement to Travelers,25780,25780,25780
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,270,Local Transportation,1050,1050,1050
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,350,Stationery and Office Supplies,30000,30000,30000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,5,Salaries and Wages - on Payroll,410803,410803,436020
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,4965802,4965802,5537227
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,41517,41517,63088
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,820,820,820
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,100549,150549,63549
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,222315,222315,181837
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,262137,262137,425954
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,46235,46235,35185
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,36940,36940,46700
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,115,115,65
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,3760,3760,6760
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,101273,51273,101273
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,42233,42233,20233
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,22708,22708,26708
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558,558,558
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,29467,29467,28467
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,709,709,709
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,2552,2552,2552
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,348,Books and Related Material,2032,2032,1200
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,12842,12842,12842
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,700,Contingencies,980,980,20000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,For Services Provided by the Department of Fleet and Facilities Management,1000,1000,3000
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,972226,972226,1022933
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,5890,5890,4967
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,683,683,683
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,7597,7597,7597
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,47352,47352,30621
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,13457,13457,8457
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,10031,10031,10031
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,21334,21334,10334
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,2437,2437,2437
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,1632,1632,1632
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,5093,5093,5093
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,7854,7854,7854
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,4501,4501,2501
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,14062,14062,14062
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558,558,558
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,1615,1615,1615
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,1132,1132,1132
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,1608,1608,1608
