fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,229,TRAN/EXP ALLOWANCE,680,680,680
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,872,872,872
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1242,1242,1000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1310,1310,1200
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,196,DATA CIRCUITS,0,0,3800
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286,5286,5286
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,0,0,18500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,245,REIMBURSEMENT TRAVELERS,23280,23280,23280
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,130,POSTAGE,30918,30918,23400
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,197,TELEPHONE-MAINTENANCE,30200,30200,30000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,181,MOBILE COMM SERVICES,39730,39730,39730
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPL,48500,48500,48500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,67900,67900,49500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,190,TELEPHONE-CENTREX,70000,70000,56000
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,159,LEASE PURCHASE AGREEMNT,87300,87300,63500
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,5892558,5892558,5142155
LOCAL,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,2005 - OFFICE OF THE MAYOR,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-519910,-519910,0
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,558,558,558
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,721,721,721
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,130,POSTAGE,820,820,820
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,20,OVERTIME,5000,5000,1250
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1487,1487,1487
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,1649,1649,1649
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,2032,2032,2032
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,3875,3875,3875
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,5000,5000,5000
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,320,GASOLINE,7680,7680,5138
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,6036,6036,6036
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,7473,7473,8113
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,9231,9231,9231
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,9761,9761,9761
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,12784,12784,12784
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,21728,21728,21728
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,27618,27618,22771
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,59864,59864,28990
