fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,5511957,5511957,5550657
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1200,1200,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,10000,10000,5019
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1000,1000,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,49500,49500,49500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE PURCHASE AGREEMNT,63500,63500,63500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,166,"DUES, SUBSC & MEM",18500,18500,18500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286,5286,5286
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMMUNICATION SERVICES,47400,47400,37700
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE - NON-CENTREX BILLINGS,43300,43300,49700
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,196,DATA CIRCUITS,3000,3000,3000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE - MAINTENANCE,17272,17272,17670
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,680,680,680
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,23280,23280,23280
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,872,872,872
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,48500,48500,40000
LOCAL,0310,MOTOR FUEL TAX FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,259998,259998,259998
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,529248,529248,541254
GRANTS,0929,COM ED SETTLEMENT FUND II,1,OFFICE OF THE MAYOR,2809,COMED SETTLEMENT FUND,5,SALARIES AND WAGES - ON PAYROLL,272566,272566,272566
GRANTS,0929,COM ED SETTLEMENT FUND II,1,OFFICE OF THE MAYOR,2809,COMED SETTLEMENT FUND,44,FRINGE BENEFITS,101549,101549,100014
GRANTS,0J38,SMART GRID / ENERGY EFF. CONSUMER ED.,1,OFFICE OF THE MAYOR,2804,SMART GRID / ENERGY EFFICIENCY,5,SALARIES AND WAGES - ON PAYROLL,0,0,47504
GRANTS,0J38,SMART GRID / ENERGY EFF. CONSUMER ED.,1,OFFICE OF THE MAYOR,2804,SMART GRID / ENERGY EFFICIENCY,44,FRINGE BENEFITS,0,0,18256
GRANTS,0J38,SMART GRID / ENERGY EFF. CONSUMER ED.,1,OFFICE OF THE MAYOR,2804,SMART GRID / ENERGY EFFICIENCY,140,PROFESSIONAL AND TECHNICAL SERVICES,155000,155000,84240
GRANTS,0J38,SMART GRID / ENERGY EFF. CONSUMER ED.,1,OFFICE OF THE MAYOR,2804,SMART GRID / ENERGY EFFICIENCY,245,REIMBURSEMENT TO TRAVELERS,0,0,5000
GRANTS,0J39,GUN VIOLENCE PREVENTION,1,OFFICE OF THE MAYOR,2803,GUN VIOLENCE PREVENTION,5,SALARIES AND WAGES - ON PAYROLL,0,0,102000
GRANTS,0J39,GUN VIOLENCE PREVENTION,1,OFFICE OF THE MAYOR,2803,GUN VIOLENCE PREVENTION,44,FRINGE BENEFITS,0,0,37240
GRANTS,0J39,GUN VIOLENCE PREVENTION,1,OFFICE OF THE MAYOR,2803,GUN VIOLENCE PREVENTION,140,PROFESSIONAL AND TECHNICAL SERVICES,150000,150000,10760
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,5,SALARIES AND WAGES - ON PAYROLL,867288,867288,784508
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,44,FRINGE BENEFITS,323080,323080,303565
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,140,PROFESSIONAL AND TECHNICAL SERVICES,685932,685932,718382
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,149,SOFTWARE MAINTENANCE AND LICENSING,50000,50000,50377
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,150,PUBLICATN & REPRODT-OUT,50000,50000,50000
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,166,"DUES, SUBSC & MEM",1000,1000,1000
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,181,MOBILE COMMUNICATION SERVICES,7600,7600,5400
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,190,TELEPHONE - NON-CENTREX BILLINGS,4700,4700,2042
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,197,TELEPHONE - MAINTENANCE,400,400,726
GRANTS,0P71,INNOVATIVE DELIVERY GRANT,1,OFFICE OF THE MAYOR,2800,INNOVATION DELIVERY GRANT,350,STATIONERY AND OFFICE SUPPLIES,10000,10000,10000
GRANTS,0P92,MAYOR'S OFFICE - US DOJ,1,OFFICE OF THE MAYOR,2805,NTL FORUM YOUTH VIOLENCE PREV.,5,SALARIES AND WAGES - ON PAYROLL,0,0,96900
GRANTS,0P92,MAYOR'S OFFICE - US DOJ,1,OFFICE OF THE MAYOR,2805,NTL FORUM YOUTH VIOLENCE PREV.,44,FRINGE BENEFITS,0,0,37240
GRANTS,0P92,MAYOR'S OFFICE - US DOJ,1,OFFICE OF THE MAYOR,2805,NTL FORUM YOUTH VIOLENCE PREV.,140,PROFESSIONAL AND TECHNICAL SERVICES,469000,469000,120860
LOCAL,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,2235291,2235291,2348337
