tif_id,tif_name,reporting_category,description,amount
T-001,35th/Halsted,Revenues,Property tax,4364671.00
T-001,35th/Halsted,Revenues,Sales tax,0.00
T-001,35th/Halsted,Revenues,Interest,196036.00
T-001,35th/Halsted,Revenues,Total revenues,4560707.00
T-001,35th/Halsted,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",87322.00
T-001,35th/Halsted,Expenditures,Marketing costs.  (q)(1.6),0.00
T-001,35th/Halsted,Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",250000.00
T-001,35th/Halsted,Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and of existing buildings. (q)(3)",146787.00
T-001,35th/Halsted,Expenditures,Costs of construction of public works and improvements. (q)(4),260980.00
T-001,35th/Halsted,Expenditures,Cost of job training and retraining. (q)(5),120606.00
T-001,35th/Halsted,Expenditures,Financing costs. (q)(6),0.00
T-001,35th/Halsted,Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-001,35th/Halsted,Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-001,35th/Halsted,Expenditures,Relocation costs. (q)(8),0.00
T-001,35th/Halsted,Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-001,35th/Halsted,Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-001,35th/Halsted,Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),0.00
T-001,35th/Halsted,Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-001,35th/Halsted,Expenditures,Cost of day care services and operational costs of day care centers. (q)(11.5),0.00
T-001,35th/Halsted,Expenditures,Total expenditures,865695.00
T-001,35th/Halsted,Revenues over expenditures,,3695012.00
T-001,35th/Halsted,Fund balance,Beginning of year,11696357.00
T-001,35th/Halsted,Fund balance,End of year,15391369.00
T-001,35th/Halsted,Fund balance,Reserved for debt service,0.00
T-001,35th/Halsted,Fund balance,Reserved for encumbrances,0.00
T-001,35th/Halsted,Fund balance,Designated for future redevelopment project costs,15391369.00
T-001,35th/Halsted,Fund balance,Total fund balance,15391369.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Property tax,205432.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Sales tax,0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Interest,705.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Total revenues,206137.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,"Costs of studies, admin., and professional services. (q)(1)",5607.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Marketing costs.  (q)(1.6),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,"Property assembly, demolition, site preparation and environmental site improvement costs.  (q)(2)",0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,"Costs of rehabilitation, reconstruction, repair or remodeling and site improvement costs.  (q)(2)",0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Costs of construction of public works and improvements. (q)(4),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Cost of job training and retraining. (q)(5),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Financing costs. (q)(6),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Approved capital costs of overlapping taxing districts. (q)(7),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Cost of reimbursing school district for their increase costs caused by TIF assisted housing projects (q)(7.5),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Relocation costs. (q)(8),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Payments in lieu of taxes. (q)(9),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,"Costs of job training, retraining advanced vocational or career education provided by other taxing bodies. (q)(10)",0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Costs of reimbursing private developers for interest expenses incurred on approved redevelopment projects. (q)(11)(A-E),68540.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Costs of construction of new housing units for low income and very low income households. (q)(11)(F),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Cost of day care services and operational costs of day care centers.  (q)(11.5),0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Total expenditures,74147.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues over expenditures,,131990.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,Beginning of year,496958.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,End of year,628948.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,Reserved for debt service,0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,Reserved for encumbrances,0.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,Designated for future redevelopment project costs,628948.00
T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Fund balance,Total fund balance,628948.00
T-003,43rd/Damen,Revenues,Property tax,3274.00
T-003,43rd/Damen,Revenues,Sales tax,0.00
T-003,43rd/Damen,Revenues,Interest,0.00
T-003,43rd/Damen,Revenues,Total revenues,3274.00
T-003,43rd/Damen,Expenditures,"Costs of studies, admin., and professional services. (q)(1)",0.00
T-003,43rd/Damen,Expenditures,Marketing costs.  (q)(1.6),0.00
