location,address,city,zip,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,3401 W. Foster Ave.,Chicago,60625,10405,10594,11498,10867,10395,11171,11532,11387,11534,11677,9741,9454,130255
Altgeld,13281 S. Corliss Ave.,Chicago,60827,2083,2358,2380,2127,2247,2484,2578,2512,2462,2678,2014,2273,28196
Archer Heights,5055 S. Archer Ave.,Chicago,60632,6378,7521,7809,7824,7162,6952,7835,7536,6908,8219,6679,5770,86593
Austin,5615 W. Race Ave.,Chicago,60644,4878,5391,5655,5378,5178,5895,7399,7962,6299,7604,8128,7713,77480
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,8003,8879,9627,8853,9172,9897,10441,10110,9031,10054,8060,6953,109080
Avalon,8148 S. Stony Island Ave.,Chicago,60617,7925,8093,8748,11392,8896,7870,9318,9045,8389,10385,7523,7078,104662
Back of the Yards,2111 W. 47th St.,Chicago,60609,3382,3235,3990,3864,4310,3670,4447,4243,3801,4173,3007,2867,44989
Beverly,1962 W. 95th St.,Chicago,60643,5727,6496,6627,6492,7135,6496,6890,6275,6777,7333,6761,3327,76336
Bezazian,1226 W. Ainslie St.,Chicago,60640,9666,8634,9543,10704,10433,10540,11867,12265,9769,11981,9164,7005,121571
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7440,6986,8107,8534,7677,8143,9601,8850,7733,7779,7112,6396,94358
Brainerd,1350 W. 89th St.,Chicago,60620,5057,6719,5235,6594,6380,7204,4534,4690,3680,4456,3039,2439,60027
Brighton Park,4314 S. Archer Ave.,Chicago,60632,4444,4593,4480,5680,4161,4514,5194,5142,4223,5799,4107,3349,55686
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,10961,10580,13487,10603,8590,10533,11950,11519,9416,10659,10384,9460,128142
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,9917,11174,11358,10868,9672,10735,11979,11038,9372,10725,9318,8893,125049
Canaryville,642 W. 43rd St.,Chicago,60609,2614,2956,3515,3195,3186,3617,3931,3467,3130,3435,3129,2748,38923
Chicago Bee,3647 S. State St.,Chicago,60609,1585,1742,1957,2287,2114,2335,2184,1920,1720,2296,1925,1643,23708
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,5247,6273,5315,5792,5304,6077,7165,8598,4600,0,0,0,54371
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,16716,21237,24670,22875,23898,22703,24518,26210,22446,24910,21183,20148,271514
Clearing,6423 W. 63rd Pl.,Chicago,60638,4283,5259,5385,5196,4787,4777,6062,5700,4742,185,1552,3740,51668
Coleman,731 E. 63rd St.,Chicago,60637,6123,6834,6745,7398,6891,6603,8386,7985,0,4517,6031,6884,74397
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4550,4650,5042,5536,5059,4988,5952,5590,4853,5618,4720,4105,60663
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,9216,10480,10319,9572,8927,8959,9283,11059,8526,9535,8850,11435,116161
Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunning,7455 W. Cornelia Ave.,Chicago,60634,7777,8684,8650,8425,9254,9519,10353,9049,10065,8865,6802,6816,104259
Edgebrook,5331 W. Devon Ave.,Chicago,60646,7241,8130,8517,8361,7260,8955,9688,9171,7282,8610,7074,6716,97005
Edgewater,6000 N. Broadway St.,Chicago,60660,11504,17381,19171,20253,15847,16459,18370,17216,15906,17014,14596,13328,197045
Gage Park,2807 W. 55th St.,Chicago,60632,2111,1979,2000,2177,2185,2569,3111,2967,2435,3834,2256,2082,29706
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,1597,1444,1725,2061,1722,1923,3067,1882,1510,1596,1129,807,20463
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4500,4904,5803,5559,5099,5850,7855,6865,5307,7239,6105,5042,70128
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4541,6664,7689,7662,7828,6828,4125,3715,6132,4111,4940,5763,69998
Hall,4801 S. Michigan Ave.,Chicago,60615,5040,7987,7226,5947,4439,5110,6350,5452,5026,5833,4891,4583,67884
Harold Washtington Library Center,400 S. State St.,Chicago,60605,103099,103013,121131,130849,114792,116673,119738,116332,107200,128546,102895,141696,1405964
Hegewisch,3048 E. 130th St.,Chicago,60633,3316,3462,3985,3766,3153,2999,3147,2971,2941,3366,2956,2685,38747
Humboldt Park,1605 N. Troy St.,Chicago,60647,5224,9661,7993,7773,6737,6220,6957,6630,5617,6141,5104,4489,78546
Independence,4024 N. Elston Ave.,Chicago,60618,1370,6593,7220,6917,5745,7940,7363,7810,6034,6929,6349,4782,75052
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3918,0,0,0,0,0,0,0,0,0,0,2190,6108
Jeffery Manor,2401 E. 100th St.,Chicago,60617,4733,6392,5537,5750,5473,5423,4722,4233,4210,4508,3242,3259,57482
Kelly,6151 S. Normal Blvd.,Chicago,60621,4435,4047,4547,4983,5075,5598,7550,6978,5805,6778,4742,4809,65347
King,3436 S. King Dr.,Chicago,60616,3695,4217,3618,3429,2261,2438,2503,2578,2107,2298,3362,2684,35190
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,6386,6630,7195,6949,7489,4550,11452,11899,9477,0,0,0,72027
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11415,11059,13860,13440,12697,13591,15408,14672,12394,14886,12402,10364,156188
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9854,13476,14077,11767,9822,10961,12604,11804,10455,11912,10723,9969,137424
Little Italy,1336 W. Taylor St.,Chicago,60607,0,4816,11303,11381,11304,11502,12663,12261,10363,12198,10555,9705,118051
Little Village,2311 S. Kedzie Ave.,Chicago,60623,6716,7025,7467,7492,6809,5966,8116,7093,5779,7695,5774,4757,80689
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10787,11189,12731,13085,12085,13409,15385,14070,12177,13592,11271,10749,150530
Lozano,1805 S. Loomis St.,Chicago,60608,10057,9935,10745,12061,9690,9632,10214,10118,9436,11858,10613,9009,123368
Manning,6 S. Hoyne Ave.,Chicago,60612,7361,7085,7814,7168,6320,6161,6978,6639,5923,8186,7512,7011,84158
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,5148,5317,7870,3967,6344,6597,7460,7055,5982,10479,6336,5654,78209
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,3625,4111,4350,4369,3606,3835,3371,4187,3903,4320,3900,3570,47147
McKinley Park,1915 W. 35th St.,Chicago,60609,7154,8242,8220,8226,7968,9138,10614,8844,7834,8637,7739,6630,99246
Merlo,644 W. Belmont Ave.,Chicago,60657,8108,11525,0,0,0,0,0,0,0,0,0,0,19633
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4670,4966,4987,5070,5094,5670,6647,3999,2293,3048,2614,2217,51275
Near North,310 W. Division St.,Chicago,60610,10281,11897,11311,10963,10209,11213,12401,11582,10023,11624,9205,9447,130156
North Austin,5724 W. North Ave.,Chicago,60639,3163,2591,2364,3658,3457,3369,4244,4556,3488,4209,3419,3439,41957
North Pulaski,4300 W. North Ave.,Chicago,60639,3324,4141,5013,3923,3875,3948,4404,5103,3372,4093,3590,2932,47718
Northtown,6800 N. Western Ave.,Chicago,60645,0,0,8377,10287,10443,10928,13805,13024,10819,12803,10329,3418,104233
