ward_section_concatenated,ward,section,month_name,month_number,dates
101,1,1,APRIL,4,"2,3"
101,1,1,MAY,5,"1,7"
101,1,1,JUNE,6,"4,5"
101,1,1,JULY,7,"2,3"
101,1,1,AUGUST,8,"6,7"
101,1,1,SEPTEMBER,9,"3,4"
101,1,1,OCTOBER,10,"1,2"
101,1,1,NOVEMBER,11,"5,6"
102,1,2,APRIL,4,"4,5"
102,1,2,MAY,5,"2,3"
102,1,2,JUNE,6,"6,7"
102,1,2,JULY,7,"5,"
102,1,2,AUGUST,8,"1,2"
102,1,2,SEPTEMBER,9,"5,6"
102,1,2,OCTOBER,10,"3,4"
102,1,2,NOVEMBER,11,"1,7"
103,1,3,APRIL,4,"9,10"
103,1,3,MAY,5,"8,14"
103,1,3,JUNE,6,"11,12"
103,1,3,JULY,7,"9,10"
103,1,3,AUGUST,8,"13,14"
103,1,3,SEPTEMBER,9,"10,11"
103,1,3,OCTOBER,10,"8,9"
103,1,3,NOVEMBER,11,"12,13"
104,1,4,APRIL,4,"11,12"
104,1,4,MAY,5,"9,10"
104,1,4,JUNE,6,"13,14"
104,1,4,JULY,7,"11,12"
104,1,4,AUGUST,8,"8,9"
104,1,4,SEPTEMBER,9,"12,13"
104,1,4,OCTOBER,10,"10,11"
104,1,4,NOVEMBER,11,"8,14"
105,1,5,APRIL,4,"16,17"
105,1,5,MAY,5,"15,21"
105,1,5,JUNE,6,"18,19"
105,1,5,JULY,7,"16,17"
105,1,5,AUGUST,8,"20,21"
105,1,5,SEPTEMBER,9,"17,18"
105,1,5,OCTOBER,10,"15,16"
106,1,6,APRIL,4,"18,19"
106,1,6,MAY,5,"16,17"
106,1,6,JUNE,6,"20,21"
106,1,6,JULY,7,"18,19"
106,1,6,AUGUST,8,"15,16"
106,1,6,SEPTEMBER,9,"19,20"
106,1,6,OCTOBER,10,"17,18"
106,1,6,NOVEMBER,11,"15,21"
107,1,7,APRIL,4,"23,24"
107,1,7,MAY,5,"22,28"
107,1,7,JUNE,6,"25,26"
107,1,7,JULY,7,"23,24"
107,1,7,AUGUST,8,"20,21"
107,1,7,SEPTEMBER,9,"24,25"
108,1,8,APRIL,4,"25,26"
108,1,8,MAY,5,"23,24"
108,1,8,JUNE,6,"27,28"
108,1,8,JULY,7,"25,26"
108,1,8,AUGUST,8,"22,23"
108,1,8,SEPTEMBER,9,"26,27"
108,1,8,OCTOBER,10,"24,25"
201,2,1,APRIL,4,"1,2"
201,2,1,MAY,5,"7,8"
201,2,1,JUNE,6,"13,14"
201,2,1,JULY,7,"22,23"
201,2,1,AUGUST,8,"27,28"
201,2,1,OCTOBER,10,"3,4"
201,2,1,NOVEMBER,11,"11,12"
202,2,2,APRIL,4,"3,4"
202,2,2,MAY,5,"9,10"
202,2,2,JUNE,6,"17,18"
202,2,2,JULY,7,"24,25"
202,2,2,AUGUST,8,"29,30"
202,2,2,OCTOBER,10,"7,8"
202,2,2,NOVEMBER,11,"13,14"
203,2,3,APRIL,4,"5,8"
203,2,3,MAY,5,"13,14"
203,2,3,JUNE,6,"19,20"
203,2,3,JULY,7,"26,29"
203,2,3,SEPTEMBER,9,"3,4"
203,2,3,OCTOBER,10,"9,10"
203,2,3,NOVEMBER,11,"15,18"
204,2,4,APRIL,4,"9,10"
204,2,4,MAY,5,"15,16"
204,2,4,JUNE,6,"21,24"
204,2,4,JULY,7,"30,31"
204,2,4,SEPTEMBER,9,"5,6"
204,2,4,OCTOBER,10,"11,15"
204,2,4,NOVEMBER,11,"19,20"
205,2,5,APRIL,4,"11,12"
205,2,5,MAY,5,"17,20"
205,2,5,JUNE,6,"25,26"
205,2,5,AUGUST,8,"1,2"
205,2,5,SEPTEMBER,9,"9,10"
205,2,5,OCTOBER,10,"16,17"
205,2,5,NOVEMBER,11,"21,22"
206,2,6,APRIL,4,"15,16"
206,2,6,MAY,5,"21,22"
206,2,6,JUNE,6,"27,28"
206,2,6,AUGUST,8,"5,6"
206,2,6,SEPTEMBER,9,"11,12"
206,2,6,OCTOBER,10,"18,21"
207,2,7,APRIL,4,"17,18"
207,2,7,MAY,5,"23,24"
207,2,7,JULY,7,"1,2"
207,2,7,AUGUST,8,"7,8"
207,2,7,SEPTEMBER,9,"13,16"
207,2,7,OCTOBER,10,"22,23"
208,2,8,APRIL,4,"19,22"
208,2,8,MAY,5,"28,29"
208,2,8,JULY,7,"3,5"
208,2,8,AUGUST,8,"9,12"
208,2,8,SEPTEMBER,9,"17,18"
208,2,8,OCTOBER,10,"24,25"
209,2,9,APRIL,4,"23,24"
209,2,9,MAY,5,"30,31"
209,2,9,JULY,7,"8,9"
209,2,9,AUGUST,8,"13,14"
209,2,9,SEPTEMBER,9,"19,20"
209,2,9,OCTOBER,10,"28,29"
210,2,10,APRIL,4,"25,26"
210,2,10,JUNE,6,"3,4"
210,2,10,JULY,7,"10,11"
210,2,10,AUGUST,8,"15,16"
210,2,10,SEPTEMBER,9,"23,24"
210,2,10,OCTOBER,10,"30,31"
211,2,11,APRIL,4,"29,30"
211,2,11,JUNE,6,"5,6"
211,2,11,JULY,7,"12,15"
211,2,11,AUGUST,8,"19,20"
211,2,11,SEPTEMBER,9,"25,26"
211,2,11,OCTOBER,10,"1,4"
212,2,12,MAY,5,"1,2"
212,2,12,JUNE,6,"7,10"
212,2,12,JULY,7,"16,17"
212,2,12,AUGUST,8,"21,22"
212,2,12,SEPTEMBER,9,"27,30"
212,2,12,NOVEMBER,11,"5,6"
213,2,13,MAY,5,"3,6"
213,2,13,JUNE,6,"11,12"
213,2,13,JULY,7,"18,19"
213,2,13,AUGUST,8,"23,26"
213,2,13,OCTOBER,10,"1,2"
213,2,13,NOVEMBER,11,"7,8"
301,3,1,APRIL,4,"1,2"
301,3,1,MAY,5,"21,22"
301,3,1,JULY,7,"12,15"
301,3,1,SEPTEMBER,9,"3,4"
301,3,1,OCTOBER,10,"24,25"
302,3,2,APRIL,4,"3,4"
302,3,2,MAY,5,"23,24"
302,3,2,JULY,7,"16,17"
302,3,2,SEPTEMBER,9,"5,6"
302,3,2,OCTOBER,10,"28,29"
303,3,3,APRIL,4,"5,8"
303,3,3,MAY,5,"28,29"
303,3,3,JULY,7,"18,19"
303,3,3,SEPTEMBER,9,"9,10"
303,3,3,OCTOBER,10,"30,31"
304,3,4,APRIL,4,"9,10"
304,3,4,MAY,5,"30,31"
304,3,4,JULY,7,"22,23"
304,3,4,SEPTEMBER,9,"11,12"
304,3,4,NOVEMBER,11,"1,4"
305,3,5,APRIL,4,"11,12"
305,3,5,JUNE,6,"3,4"
305,3,5,JULY,7,"24,25"
305,3,5,SEPTEMBER,9,"13,16"
305,3,5,NOVEMBER,11,"5,6"
306,3,6,APRIL,4,"15,16"
306,3,6,JUNE,6,"5,6"
306,3,6,JULY,7,"26,29"
306,3,6,SEPTEMBER,9,"17,18"
306,3,6,NOVEMBER,11,"7,8"
307,3,7,APRIL,4,"17,18"
307,3,7,JUNE,6,"7,10"
307,3,7,JULY,7,"30,31"
307,3,7,SEPTEMBER,9,"19,20"
307,3,7,NOVEMBER,11,"11,12"
308,3,8,APRIL,4,"19,22"
308,3,8,JUNE,6,"11,12"
308,3,8,AUGUST,8,"1,2"
308,3,8,SEPTEMBER,9,"23,24"
308,3,8,NOVEMBER,11,"13,14"
309,3,9,APRIL,4,"23,24"
309,3,9,JUNE,6,"13,14"
309,3,9,AUGUST,8,"5,6"
309,3,9,SEPTEMBER,9,"25,26"
309,3,9,NOVEMBER,11,"15,18"
310,3,10,APRIL,4,"25,26"
310,3,10,JUNE,6,"17,18"
310,3,10,AUGUST,8,"7,8"
310,3,10,SEPTEMBER,9,"27,30"
310,3,10,NOVEMBER,11,"19,20"
311,3,11,APRIL,4,"29,30"
311,3,11,JUNE,6,"19,20"
311,3,11,AUGUST,8,"9,12"
311,3,11,OCTOBER,10,"1,2"
311,3,11,NOVEMBER,11,"21,22"
312,3,12,MAY,5,"1,2"
312,3,12,JUNE,6,"21,24"
312,3,12,AUGUST,8,"13,14"
312,3,12,OCTOBER,10,"3,4"
313,3,13,MAY,5,"3,6"
313,3,13,JUNE,6,"25,26"
313,3,13,AUGUST,8,"15,16"
313,3,13,OCTOBER,10,"7,8"
314,3,14,MAY,5,"7,8"
