region,_region_id,_west,_east,_south,_north,_description,current_speed,_last_updt
Riverdale-Hegewisch,28,-87.662508,-87.524436,41.644139,41.677477,138th to 119th. Ashland to State Line,0,2023-02-20 02:30:54.0
South Deering-East Side,27,-87.584845,-87.524436,41.677477,41.728472,119th to 91st. Stony Island to State Line,0,2023-02-20 02:30:54.0
South West Side,18,-87.747456,-87.68373,41.764066,41.822792,71st to Pershing. Cicero to Western,30,2023-02-20 02:30:54.0
Austin,9,-87.775947,-87.747456,41.866129,41.909269,Roosevelt to North Ave. Austin to Cicero,0,2023-02-20 02:30:54.0
Hermosa-Logan Square,7,-87.747456,-87.67459,41.909269,41.931841,North Ave to Diversy. Cicero to Ravenswood,0,2023-02-20 02:30:54.0
Near North,12,-87.647208,-87.62308,41.88886,41.911401,Wacker to North. Halsted to  Michigan,30.41,2023-02-20 02:30:54.0
Washington Hts-Roseland-Pullman,26,-87.662508,-87.584845,41.677477,41.728472,119th to 91st. Ashland to Stony Island,34.84,2023-02-20 02:30:54.0
West Town-Near West,11,-87.691617,-87.647208,41.866129,41.910561,Roosevelt to North. Rockwell to Halsted,27.68,2023-02-20 02:30:54.0
Bridgeport-McKinley-Lower West,15,-87.685372,-87.636322,41.822792,41.866129,Pershing to Roosevel. Western to Stewart,40.33,2023-02-20 02:30:54.0
Downtown Lakefront,29,-87.62308,-87.595378,41.866129,41.911401,Roosevelt to Oak. Michigan to Lake Shore,0,2023-02-20 02:30:54.0
Lincoln Park-Lake View,8,-87.67459,-87.619112,41.910561,41.960669,North Ave to Montrose. Ravenswood to Lake Shore,0,2023-02-20 02:30:54.0
Rogers Park - West Ridge,1,-87.709645,-87.654561,41.997946,42.026444,North of Devon. Kedzie to Lake Shore,0,2023-02-20 02:30:54.0
Fuller-Grand Blvd-Washington Park,20,-87.636322,-87.606334,41.764066,41.822792,71st to Pershing. Steward to Cottage Grove,26.59,2023-02-20 02:30:54.0
Dunning-Portage-Belmont Cragn,5,-87.84621,-87.747456,41.909269,41.960669,North Ave to Montrose. East River to Cicero,0,2023-02-20 02:30:54.0
New City-Englewood-W Englewood,19,-87.68373,-87.636322,41.764066,41.822792,71st to Pershing. Western to Steward,31.36,2023-02-20 02:30:54.0
Beverly-Mt Greenwood-Morgan Park,25,-87.747456,-87.662508,41.677477,41.728472,119th to 91st. Cicero to Ashland,0,2023-02-20 02:30:54.0
Humboldt-Garfield Prk E/W,10,-87.747456,-87.691617,41.866129,41.909269,Roosevelt to North Ave. Cicero to Rockwell,27.07,2023-02-20 02:30:54.0
Ashburn,22,-87.747456,-87.67298,41.728472,41.764066,91st to 71st. Cicero to Damen,0,2023-02-20 02:30:54.0
Chicago Loop,13,-87.647208,-87.62308,41.866129,41.88886,Roosevelt to Wacker: Halsted to Michigan,26.18,2023-02-20 02:30:54.0
Edge Water-Uptown,4,-87.67459,-87.646438,41.960669,41.997946,Montrose to Devon. Ravenswood to Lake Shore,0,2023-02-20 02:30:54.0
Irving Park-Avondale-North Ctr,6,-87.747456,-87.67459,41.931841,41.960669,Diversey to Montrose. Cicero to Ravenswood,0,2023-02-20 02:30:54.0
Lawndale N/S,14,-87.747456,-87.685372,41.822792,41.866129,Pershing to Roosevel. Cicero to Western,0,2023-02-20 02:30:54.0
Near South-Douglas,16,-87.636322,-87.597952,41.822792,41.866129,Pershing to Roosevelt. Stewart to Lake Shore,0,2023-02-20 02:30:54.0
Far North West,2,-87.84621,-87.747456,41.960669,42.0190998,North of Montrose. East River to Cicero,0,2023-02-20 02:30:54.0
Auburn Gresham-Chatham,23,-87.67298,-87.606334,41.728472,41.764066,91st to 71st. Damen to Cottage Grove,24.55,2023-02-20 02:30:54.0
Midway-Garfield Rdg-Clearing,17,-87.802188,-87.747456,41.764066,41.822792,71st to Pershing. Halem to Cicero,0,2023-02-20 02:30:54.0
Hyde Park-Kenwood-Woodlawn,21,-87.606334,-87.56626,41.764066,41.822792,71st to Pershing. Cottage Grove to Lake Shore,0,2023-02-20 02:30:54.0
South Shore-S Chicago-Avlon,24,-87.606334,-87.526388,41.728472,41.764066,91st to 71st. Cottage Grove to Lake Shore,0,2023-02-20 02:30:54.0
North Park-Albany-Linconl Sq,3,-87.747456,-87.67459,41.960669,41.997946,Montrose to Devon. Cicero to Ravenswood,24.1,2023-02-20 02:30:54.0
