vendor_id,vendor,address_line_1,city,state,zip_code,address_line_2
94192177E,"""D"" CONSTRUCTION, INC.",1488 S BROADWAY,COAL CITY,IL,60416,
93428432T,"""READING IN MOTION""",65 E WACKER DR  1800 EFT,CHICAGO,IL,60601,
50092043,100 CLUB OF CHICAGO,875 N MICHIGAN AVENUE SUITE 1351,CHICAGO,IL,60611,
1047177,1020 BUILDING PARTNERSHIP,C/O DON GARFIELD,CHICAGO,IL,60617,9420 S. STONEY ISLAND AVE
93744130Z,104TH STREET LPSH,C/O MERCY HOUSING  LAKEFRONT,CHICAGO,IL,60603,120 S LA SALLE ST STE 1850
94328711Z,"10GEN, INC.",555 UNIVERSITY AVENUE EFT,PALO ALTO,CA,94301,
85249964Z,1140 NORTH BRANCH DEVELOPMENT LLC,701 W ERIE ST,CHICAGO,IL,60610,
55480108,1200  SAINT  JAMES  LLC.,4201 WEST 36TH  STREET,CHICAGO,IL,60632,
54718021,1240 SOUTH WABASH CORP,2901 WEST ESTES,CHICAGO,IL,60645,
85247677X,1301 ELSTON LLC,1250 W DIVISION ST,CHICAGO,IL,60622,
90141873X,1319 S SPAULDING LLC,OR CHICAGO TITLE INSURANCE ACCT#029036254-002,CHICAGO,IL,60601,
94731224P,1325 S. STATE STREET LLC,2000 N RACINE AVE,CHICAGO,IL,60614,
94082322V,"1330 SOUTH MICHIGAN, LLC.",3831 RUBY ST,SCHILLER PARK,IL,60176,
54971071,"1430 W. IRVING PARK, II  LLC.",5479 NORTH MILWAUKEE,CHICAGO,IL,60613,
53838022,1454 S MICHIGAN LLC,1525 W HOMER S#401,CHICAGO,IL,60642,
39858397T,14TH PLACE LLC,5110 SAN FELIPE ST UNIT 304W,HOUSTON,TX,77056-3670,
54262037,1531 ACQUISTION CO LLC,1531 N DAMEN,CHICAGO,IL,60622,
55089027,1555  WABASH  LLC.,1440 WEST TAYLOR STREET,CHICAGO,IL,60607,
31335659M,1607 W. HOWARD LLC,4355 N RAVENSWOOD AVE,CHICAGO,IL,60613,4355 N RAVENSWOOD AVE
56721023,1625 S. CLARK ST LLC,C/O DLA PIPER LLP,CHICAGO,IL,60602,203 N LASALLE ST STE. 1900
85245290T,1641 LLC,1 N BISHOP ST,CHICAGO,IL,60607,
85240061T,1-800 CONFERENCE,1051 E WOODFIELD RD,CHICAGO,IL,60617,
3905060L,18TH STREET. DEVELOPMENT. CORP.,1839 S CARPENTER ST,CHICAGO,IL,60608,
93813888X,2434 W DIVISION LLC,2434 W DIVISION ST,CHICAGO,IL,60622,
94146540T,"2454 NORTH LAWNDALE, LLC.",4010 GREENACRE DRIVE EFT,NORTHBROOK,IL,60062,
93783763V,2454-60 W 38TH STREET LLC,2829 W CERMAK RD,CHICAGO,IL,60620,
90506670Z,2657 NORTH KEDZIE LLC,2657 N KEDZIE AVE,CHICAGO,IL,60647,
51479023,27 TOURS INC,818 19TH AVE SOUTH,NASHVILLE,TN,37203,
69303246A,30 NORTH LASALLE LP,24069 NETWORK PL,CHICAGO,IL,60673-1240,
61322110A,30 NORTH. LASALLE PARTNERS LLC,30 N LA SALLE ST STE 1420,CHICAGO,IL,60602,30 N LA SALLE ST STE 1420
93136326X,33 NORTH LASALLE PARTNERS LP,3648 COLLECTION CENTER DR,CHICAGO,IL,60693,
89964042Z,3339 W DOUGLAS LLC,OR CHICAGO TITLE INSURANCE ACCT #029036245,CHICAGO,IL,60601,
94777886E,3350 - 3 LLC.,207 E OHIO ST,CHICAGO,IL,60611,
93885657P,350 GREEN LLC,411 S HEWITT STREET EFT,LOS ANGELES,CA,90013,
56638044,"360 W. HUBBARD PLACE, LLC.",350 W. HUBBARD,CHICAGO,IL,60654,SUITE  #500
56532027,3600 W. BELMONT LLC.,1030 WEST CHICAGO AVENUE,CHICAGO,IL,60642,SUITE  #300
93428440L,3M,3 CENTER BLDG 225-5S-08,SAINT PAUL,MN,55133-3225,
1070146,3X DATA CORPORATION,1130 S. CANAL ST.,CHICAGO,IL,60607,
55939022,400 S. JEFFERSON CHICAGO LLC,1040 WEST RANDOLPH STREET,CHICAGO,IL,60607,
53828725V,40TH & LAKE PARK LLC,1649 W GRACE ST,CHICAGO,IL,60613,
31316084H,4150 PARTNERSHIP,10150 VIRGINIA AVE UNIT J,CHICAGO RIDGE,IL,60415-1380,10150 VIRGINIA AVE UNIT J
55096022,4356  DIVERSEY  LLC.,4356 WEST DIVERSEY AVENUE,CHICAGO,IL,60659,
85250992E,4554 BROADWAY LLC,4554 N BROADWAY STE 215,CHICAGO,IL,60640,
31323491M,4600 BUILDING CORP,ATTN: PHILLIP G. CAROLLO,CHICAGO,IL,60629,4600 W 72ND ST
93607922H,"4800 N DAMEN, LLC",2105 W BELMONT AVE,CHICAGO,IL,60618,
55953173,5100 MARINE DRIVE CONDO ASSOCIATION,5100 NORTH MARINE DRIVE,CHICAGO,IL,60640,
93348948H,51ST STREET BUSINESS ASSOCIATI,124 E 51ST STREET EFT ST,CHICAGO,IL,60615,
56760064,535 N. MICHIGAN VENTURE LLC,535 NORTH MICHIGAN AVENUE,CHICAGO,IL,60611,#200
94192146T,536 KIRKWOOD LLC,7035 VETERANS BLVD,BURR RIDGE,IL,60527,
55254048,"5454 S. SOUTH SHORE DRIVE, LLC",32 NORTH DEAN STREET,ENGLEWOOD,NJ,07631,
46709908T,550 ADAMS LLC,C/O FIFIELD REALTY CORP,CHICAGO,IL,60606,20 N WACKER DR
39880667V,"550 JACKSON ASSOCIATES, LLC",737 N MICHIGAN AVE,CHICAGO,IL,60611,
87164602P,5-ALARM FIRE & SAFETY,350 AUSTIN CIRCLE EFT,DELAFIELD,WI,53018,
93697003H,6801 BUILDING LLC,1634 E 53RD ST,CHICAGO,IL,60615,
5547131E,69 W. WASHINGTON MANAGEMENT. CO. LLC,69 W WASHINGTON ST STE 1430,CHICAGO,IL,60602,
54899022,"7048-50  MERRILL,  LLC.",312 NORTH MAY STREET,CHICAGO,IL,60607,SUITE   #2B
54094030,720 CLARK DEV LLC,217 N JEFFERSON,CHICAGO,IL,60661,
93696973T,7424 S PHILLIPS LLC,2130 W BELMONT EFT,CHICAGO,IL,60618,
85537346X,79TH STREET LP,7444 N LONG AVE,SKOKIE,IL,60077,
60489322V,"826CHI, INC., NFP",1331 N MILWAUKEE AVE,CHICAGO,IL,60622,
52461044,860 LAKE SHORE DRIVE TRUST,880 N LAKE SHORE DR,CHICAGO,IL,60611,
89123305A,8700 BUILDING LLC,7300 S NARRAGANSETT,BEDFORD PARK,IL,60638,
78848089L,901 W. 63RD LP,247 S STATE ST # 810,CHICAGO,IL,60614,
85247395A,950 W. MONROE STREET DEV LLC,"C/O MR PROPERTIES, LLC",DES PLAINES,IL,60018,1350 E TOUHY AVE STE 370W
31324950Z,"95TH & STONY I, LLC",C/O US EQUITIES,CHICAGO,IL,60602,20 N MICHIGAN AVE STE 400
93428444E,95TH ST/BEVERLY HILLS BUSI ASN,9006 S HOYNE AVE,CHICAGO,IL,60620,
55313030,97TH STREET SSA LLC,694 GRANDVIEW LANE,LAKE FORREST,IL,60045,
41098496E,"A & D PROPERTY SERVICES, INC.",7346 S EXCHANGE AVE,CHICAGO,IL,60649,
95089576L,"A & O RECOVERY SOLUTIONS, LLC.",700 N SACRAMENTO BLVD,CHICAGO,IL,60612,
92086146L,A & P AUTO COLOR INC.,6740 S WESTERN AVENUE EFT,CHICAGO,IL,60636,
3608830P,A & P MANAGEMENT,ATT: OFFICE OF BLDG NORA MOUSTAPHN,CHICAGO,IL,60660,5816 N SHERIDAN RD
31319211T,"A F C INTERNATIONAL, INC.",PO BOX 894  EFT,DEMOTTE,IN,46310,
28976533T,"A KNOCK AT MIDNIGHT, NFP",400 W 76TH STREET EFT ST,CHICAGO,IL,60620,STE 202
16013326X,A LITTLE BIT OF HEAVEN,11321 S WENTWORTH AVE,CHICAGO,IL,60626,
93131290T,A PERSONNEL COMMITMENT,223 W JACKSON BOULEVARD EFT,CHICAGO,IL,60606,
93145610H,A SAFE HAVEN FOUNDATION,2750 W ROOSEVELT ROAD EFT,CHICAGO,IL,60608,
93260000Z,A SAFE HAVEN LLC.,PO BOX 210  EFT,PALOS PARK,IL,60464,
31342659L,A SONG FOR MARY MARY INC.,16501 VENTURA BLVD STE 304,ENCINO,CA,91436,
61070332P,A T & T LONG DISTANCE,PO BOX 27-850,KANSAS CITY,MO,64180,
85239811M,A T & T SMART CARD SYSTEMS,200 COTTONTAIL LN,SOMERSET,NJ,,
93695880X,A T & T U-VERSE,PO BOX 5014,CAROL STREAM,IL,60197,
93278205L,"A. EPSTEIN & SONS INTERNATIONAL, INC",600 W FULTON STREET EFT,CHICAGO,IL,60661-1199,
14814119M,A. EPSTEIN & SONS INTERNTL INC,600 W FULTON ST,CHICAGO,IL,60661-1199,
3617301M,A. FINKLE & SONS CO.INC,2011 N SOUTHPORT AVE # 1,CHICAGO,IL,60614,
92680013H,"A. M. C. MECHANICAL, INC.",11535 W 183RD PL,ORLAND PARK,IL,60467,
15229294V,"A.M. BUS COMPANY, INC.",100 W 91ST ST FL 1ST,CHICAGO,IL,60620-1435,
93688656M,"A.W.T. WORLD TRADE, INC.",4321 N KNOX AVENUE EPAY,CHICAGO,IL,60641-1906,
31344785H,A-1 LEGAL VIDEO,PO BOX 1272,MORTON GROVE,IL,60053,
94196270L,AAA RENTAL SYSTEM,3020 W 167TH ST,MARKHAM,IL,60428,
38023013L,AAAE ALA & FEDERAL AFRS MEMBERSHIP,601 MADISON ST STE 400,ALEXANDRIA,VA,22314,
56638059,AARON BRUDNELL,P O  BOX  #89132,TUCSON,AZ,857529132,
93700094Z,AB REALTY PARNTERS LLC,1134 STRATFORD ROAD EFT,DEERFIELD,IL,60015,
94338833Z,ABBEY PAVING CO INC,1949 COUNTRY LINE RD,AURORA,IL,60502,
